Rank,Title,Author,Category,Sub-Genre,Format,Price (USD),Rating,Reviews,Weeks on List,Publisher,Year Published,ISBN,Amazon BSR,Amazon URL
162,The Ice Unbound,Simon Sinek,Non-Fiction,Gift / Journal,Kindle Edition,11.8,4.1,14620.0,13.0,Viking,2026.0,978-6-95824-597-9,5312.0,View
163,Fierce Signal,Morgan Housel,Non-Fiction,Psychology / Health,Paperback,16.13,4.2,14261.0,24.0,Knopf,2024.0,978-2-49384-861-7,2954.0,View
164,Deep Game,Andy Weir,Fiction,Cozy Mystery,Paperback,13.55,4.8,2422.0,26.0,Riverhead Books,2025.0,978-0-32772-297-3,800.0,View
165,Saving Lie,Publications International,Non-Fiction,Psychology / Health,Hardcover,19.3,4.6,5930.0,13.0,Viking,2017.0,978-1-47364-128-6,736.0,View
166,Deep Beast,Hernan Diaz,Fiction,Crime / Detective,Kindle Edition,6.0,4.2,10167.0,27.0,Zondervan,2026.0,978-4-65549-485-5,4092.0,View
167,Where Message,Rick Rubin,Non-Fiction,Parenting,Paperback,11.48,4.3,10949.0,24.0,Harmony,2026.0,978-4-34688-253-8,6604.0,View
168,The Beast and Snow,Emily St. John Mandel,Fiction,Contemporary Romance,Kindle Edition,9.14,4.6,3311.0,12.0,Knopf,2024.0,978-8-93665-903-7,5839.0,View
169,The Plan of Roses,Neil Gaiman,Fiction,Historical Fiction,Paperback,15.69,4.2,5628.0,13.0,Hay House,2019.0,978-7-25437-581-0,5534.0,View
170,Warrior of Ice,Michael J. Sullivan,Fiction,YA Romance,Paperback,17.87,4.8,14828.0,16.0,Zondervan,2016.0,978-2-20592-599-5,5509.0,View
171,Love Revisited,Jeannette Walls,Non-Fiction,True Crime,Hardcover,23.2,4.7,12171.0,13.0,Grand Central Publishing,2026.0,978-8-34979-118-0,5475.0,View
172,Nurse of Shadows,Cinda Williams Chima,Fiction,Middle Grade,Kindle Edition,9.36,4.4,5735.0,15.0,Tor Books,2026.0,978-5-74248-467-3,1694.0,View
173,The River and Rain,Michael Pollan,Non-Fiction,Memoir,Kindle Edition,9.6,4.3,1971.0,22.0,Simon & Schuster,2025.0,978-1-64627-554-6,1358.0,View
174,The Storm of Fire,Cal Newport,Non-Fiction,Politics / Society,Paperback,16.05,4.4,8354.0,8.0,NavPress,2023.0,978-4-78569-306-5,6110.0,View
175,Storm War,Workman Publishing,Non-Fiction,Gift / Journal,Paperback,9.8,4.0,1859.0,30.0,Knopf,2019.0,978-7-48800-370-7,760.0,View
176,Power Reclaimed,Prince Harry,Non-Fiction,Personal Finance,Audiobook,34.09,4.4,4595.0,30.0,Park Row,2024.0,978-5-33969-216-6,3630.0,View
177,First Choice,Robin DiAngelo,Non-Fiction,Gift / Journal,Paperback,12.41,4.4,11414.0,30.0,Tor Books,2025.0,978-7-73979-215-6,3964.0,View
178,City and Snow,Bob Woodward,Non-Fiction,Parenting,Hardcover,25.33,4.4,2635.0,28.0,Chronicle Books,2025.0,978-0-11526-758-2,4497.0,View
179,The Crown Rising,Jeannette Walls,Non-Fiction,Memoir,Kindle Edition,4.7,4.1,1642.0,29.0,Grand Central Publishing,2022.0,978-1-75191-863-0,1198.0,View
180,The Kingdom Reimagined,Neil Gaiman,Fiction,Science Fiction,Kindle Edition,6.98,4.5,12773.0,21.0,Zondervan,2023.0,978-5-69314-216-1,6580.0,View
181,Letter and Thunder,Daniel Kahneman,Non-Fiction,History,Paperback,10.75,4.8,3732.0,16.0,Gallery Books,2025.0,978-5-24125-875-6,742.0,View
182,Town Reclaimed,various,Non-Fiction,Activity / Coloring,Audiobook,30.61,4.7,3103.0,24.0,Thomas Nelson,2023.0,978-2-23573-496-9,5329.0,View
183,Into Choice,Rhonda Byrne,Non-Fiction,Productivity,Paperback,15.3,4.7,9269.0,22.0,Crown,2018.0,978-9-48086-803-5,5874.0,View
184,Sky of Ice,Sabaa Tahir,Fiction,Middle Grade,Kindle Edition,8.69,4.1,614.0,14.0,Convergent Books,2016.0,978-0-36201-373-2,2715.0,View
185,Between Garden,Matthew Walker,Non-Fiction,Memoir,Hardcover,27.35,4.3,969.0,14.0,WaterBrook,2021.0,978-5-82368-155-0,6462.0,View
186,The Earth of Fire,John Grisham,Fiction,Crime / Detective,Hardcover,21.89,4.0,7220.0,10.0,Tor Books,2023.0,978-2-86544-966-4,418.0,View
187,Plan Saga,Brent Weeks,Fiction,Space Opera,Hardcover,27.21,4.6,6809.0,4.0,Crown,2020.0,978-5-53393-469-4,2163.0,View
188,The Beauty and Bone,Nassim Taleb,Non-Fiction,Memoir,Paperback,13.85,4.7,4833.0,2.0,NavPress,2026.0,978-5-77411-922-8,4026.0,View
189,Where Ice,Peter F. Hamilton,Fiction,Climate Fiction,Hardcover,18.34,4.0,12346.0,26.0,Macmillan Publishers,2021.0,978-2-13113-570-5,688.0,View
190,Soul Unleashed,Morgan Housel,Non-Fiction,Self-Help,Paperback,10.05,4.3,296.0,22.0,Macmillan Publishers,2024.0,978-9-15965-817-1,3310.0,View
191,The Map,Robin Hobb,Fiction,Space Opera,Kindle Edition,11.16,4.5,10588.0,6.0,Thomas Nelson,2019.0,978-5-11461-666-8,1540.0,View
192,The Star Unleashed,Susanna Clarke,Fiction,Dark Romance,Paperback,14.54,4.2,4340.0,8.0,Convergent Books,2016.0,978-9-17128-971-8,4162.0,View
193,Found Hope,Kelly Link,Fiction,Middle Grade,Paperback,10.73,4.2,11003.0,11.0,Ace,2024.0,978-9-84299-473-5,3894.0,View
194,A Town,Anne McCaffrey,Fiction,Graphic Novel,Hardcover,19.28,4.4,10138.0,4.0,Tor Books,2025.0,978-8-35746-369-1,6347.0,View
195,House and Lightning,Mary Karr,Non-Fiction,Psychology / Health,Paperback,15.94,4.4,7813.0,18.0,Harriman House,2022.0,978-5-75820-110-3,5420.0,View
196,Knight of Glass,Nicholas Sparks,Fiction,Fantasy,Paperback,9.38,4.2,3587.0,18.0,Park Row,2026.0,978-6-71561-565-0,718.0,View
197,Burning Deal,Cassandra Clare,Fiction,Paranormal Romance,Board Book,9.55,4.0,5853.0,17.0,Workman Publishing,2025.0,978-0-75776-242-7,1750.0,View
198,The Sea Chronicles,Patricia A. McKillip,Fiction,YA Dystopian,Hardcover,23.22,4.7,9879.0,7.0,Lioncrest Publishing,2024.0,978-0-41938-144-2,5094.0,View
199,Across King,Terry Pratchett,Fiction,Historical Fiction,Hardcover,29.9,4.5,13804.0,15.0,Algonquin Books,2023.0,978-2-91685-775-8,2564.0,View
200,The Land Reckoning,Trevor Noah,Non-Fiction,Politics / Society,Kindle Edition,9.44,4.3,3106.0,17.0,Workman Publishing,2026.0,978-0-79655-615-1,1163.0,View
201,The Window Method,Viola Davis,Non-Fiction,Parenting,Paperback,16.23,4.8,9639.0,5.0,Viking,2021.0,978-7-40475-979-1,2722.0,View
202,The Clock System,Tara Westover,Non-Fiction,Self-Help,Paperback,10.38,4.1,10875.0,20.0,Anchor Books,2019.0,978-6-84012-474-9,2661.0,View
203,The Game of Stars,Michael Connelly,Fiction,YA Dystopian,Paperback,16.04,4.5,8528.0,14.0,Vintage,2025.0,978-9-99727-823-0,1722.0,View
204,The Empire and Bone,Mark Manson,Non-Fiction,Productivity,Kindle Edition,12.37,4.4,6764.0,21.0,Hay House,2024.0,978-9-17531-892-2,5653.0,View
205,The Clock Awakening,Ursula K. Le Guin,Fiction,Urban Fantasy,Paperback,10.41,4.8,5985.0,23.0,Algonquin Books,2021.0,978-3-77861-115-1,1148.0,View
206,Spy Fallen,Ben Greenfield,Non-Fiction,History,Paperback,9.64,4.4,5021.0,12.0,Putnam,2026.0,978-4-80504-932-9,2461.0,View
207,King of Roses,Carol Dweck,Non-Fiction,Memoir,Hardcover,19.98,4.1,8662.0,19.0,Viking,2010.0,978-3-47655-195-6,5932.0,View
208,Voice Approach,Dean Koontz,Fiction,Horror,Kindle Edition,11.84,5.0,3587.0,9.0,Doubleday,2018.0,978-9-56665-259-1,1398.0,View
209,Home Code,Walter Isaacson,Non-Fiction,Politics / Society,Paperback,15.74,4.6,7133.0,17.0,HarperCollins,2026.0,978-8-55519-503-2,4163.0,View
210,Strength Framework,Bryan Johnson,Non-Fiction,Creativity / Art,Paperback,13.23,4.6,10244.0,12.0,"Little, Brown",2020.0,978-6-37594-529-5,3410.0,View
211,Game Theory,John Grisham,Fiction,Dark Romance,Paperback,16.24,4.5,14835.0,29.0,Anchor Books,2024.0,978-5-73782-407-4,5027.0,View
212,The Choice Legacy,Britney Spears,Non-Fiction,Psychology / Health,Hardcover,29.1,4.7,4422.0,13.0,Bloomsbury Publishing,2011.0,978-5-99074-720-3,5149.0,View
213,Broken Power,Seth Godin,Non-Fiction,Cooking / Food,Audiobook,27.8,4.6,10232.0,20.0,Macmillan Publishers,2021.0,978-1-31233-451-3,2994.0,View
214,River Rising,James Patterson,Fiction,YA Romance,Paperback,11.25,4.3,12387.0,24.0,Crown,2025.0,978-2-62041-205-1,950.0,View
215,Window Unbound,Stephen King,Fiction,Graphic Novel,Paperback,11.55,4.3,13938.0,7.0,Convergent Books,2012.0,978-5-52624-984-7,4257.0,View
216,Sea Revisited,various,Non-Fiction,Business / Leadership,Hardcover,27.45,4.3,7439.0,11.0,Viking,2020.0,978-2-49789-110-0,4719.0,View
217,The Fear Saga,Daniel Pink,Non-Fiction,Productivity,Kindle Edition,8.92,4.6,7361.0,14.0,Zondervan,2018.0,978-6-59592-325-4,1082.0,View
218,Always Weakness,Nnedi Ofofor,Fiction,YA Dystopian,Hardcover,22.88,4.9,11676.0,21.0,Grand Central Publishing,2022.0,978-0-29942-150-8,617.0,View
219,The Shadow and Bone,Trevor Noah,Non-Fiction,Personal Finance,Paperback,16.19,4.7,13166.0,3.0,IVP Books,2020.0,978-2-17345-372-6,1022.0,View
220,Home and Thunder,Simon Sinek,Non-Fiction,Cooking / Food,Hardcover,29.76,4.4,7946.0,14.0,Sourcebooks Landmark,2024.0,978-5-30789-744-0,6540.0,View
221,Fire City,James Clear,Non-Fiction,Self-Help,Paperback,11.47,4.7,346.0,3.0,Howard Books,2023.0,978-7-88146-258-5,6756.0,View
222,Faith of Fire,Dav Pilkey,Fiction,Space Opera,Board Book,13.51,4.7,12597.0,13.0,HarperOne,2025.0,978-3-12798-805-6,3378.0,View
223,Court Revealed,Gloria Steinem,Non-Fiction,Self-Help,Paperback,16.47,4.7,1328.0,18.0,Hay House,2017.0,978-4-80989-475-7,451.0,View
224,Iron Heart,Erik Larson,Non-Fiction,Biography,Paperback,14.76,4.2,2009.0,5.0,Macmillan Publishers,2022.0,978-0-27009-282-0,2103.0,View
225,The Star Undone,Ursula K. Le Guin,Fiction,Climate Fiction,Hardcover,28.56,4.8,1194.0,13.0,Lioncrest Publishing,2023.0,978-5-17641-943-9,2627.0,View
226,The Captain of Glass,Robert Sapolsky,Non-Fiction,Business / Finance,Hardcover,29.31,4.6,9349.0,25.0,Baker Books,2023.0,978-1-93705-690-5,5977.0,View
227,Faith Revealed,Thich Nhat Hanh,Non-Fiction,Self-Help,Board Book,10.26,4.1,7254.0,28.0,Workman Publishing,2024.0,978-3-83812-658-3,3526.0,View
228,Earth of Glass,Gillian Flynn,Fiction,Psychological Thriller,Board Book,9.49,4.7,5359.0,2.0,Howard Books,2025.0,978-4-82569-623-8,5130.0,View
229,Map Reclaimed,Brandon Sanderson,Fiction,Graphic Novel,Hardcover,24.39,4.4,5519.0,27.0,"Little, Brown",2022.0,978-9-22499-709-4,764.0,View
230,Map Chronicles,Paula Hawkins,Fiction,Science Fiction,Hardcover,21.14,4.5,9455.0,6.0,Howard Books,2020.0,978-3-30079-151-6,4110.0,View
231,The Clock Saga,Peter Attia,Non-Fiction,Gift / Journal,Hardcover,20.4,4.2,11633.0,6.0,St. Martin's Press,2025.0,978-8-35966-599-6,5805.0,View
232,When Hate,Bob Woodward,Non-Fiction,Psychology / Health,Paperback,12.09,4.6,10938.0,2.0,Ballantine Books,2025.0,978-5-90769-941-7,5569.0,View
233,Court Reclaimed,Nassim Taleb,Non-Fiction,Personal Finance,Paperback,13.23,4.2,3671.0,8.0,IVP Books,2023.0,978-4-81932-594-9,6445.0,View
234,House of Glass,Andy Weir,Fiction,Psychological Thriller,Paperback,11.43,4.8,14160.0,23.0,Scholastic Press,2020.0,978-0-48337-988-6,2361.0,View
235,First Detective,Nora Roberts,Fiction,Contemporary Romance,Audiobook,21.09,4.0,501.0,13.0,Flatiron Books,2024.0,978-4-40959-613-4,7121.0,View
236,Beneath Sea,Arianna Huffington,Non-Fiction,Business / Finance,Audiobook,28.72,4.4,7037.0,9.0,Plata Publishing,2023.0,978-4-89346-437-7,4913.0,View
237,Game Unbound,Matthew Stover,Fiction,Fantasy,Hardcover,26.34,4.6,2584.0,25.0,Grand Central Publishing,2012.0,978-6-63903-410-7,6582.0,View
238,The Storm and Bone,Suzanne Collins,Fiction,Romantasy,Paperback,16.01,4.8,2396.0,18.0,St. Martin's Press,2025.0,978-5-34114-972-6,4501.0,View
239,The Map Reckoning,Victoria Aveyard,Fiction,Crime / Detective,Audiobook,24.79,4.3,4243.0,15.0,HarperCollins,2021.0,978-9-59856-837-5,3706.0,View
240,Weakness Code,Mary Karr,Non-Fiction,Health / Longevity,Board Book,8.26,4.6,6547.0,18.0,Simon & Schuster,2025.0,978-3-48165-550-6,2974.0,View
241,Found Choice,Brent Weeks,Fiction,YA Dystopian,Kindle Edition,12.43,4.4,6975.0,12.0,Atria Books,2022.0,978-7-87373-829-3,4206.0,View
242,Game Method,Bessel van der Kolk,Non-Fiction,Biography,Paperback,12.42,4.3,12787.0,7.0,Riverhead Books,2026.0,978-2-31249-989-2,1949.0,View
243,The Kingdom Forever Changed,Cinda Williams Chima,Fiction,Psychological Thriller,Hardcover,23.47,4.5,8284.0,9.0,Convergent Books,2018.0,978-7-69472-519-7,1136.0,View
244,Against Message,Taylor Jenkins Reid,Fiction,Dark Romance,Hardcover,27.88,4.1,5089.0,12.0,Simon & Schuster,2026.0,978-1-64651-282-2,5993.0,View
245,Saving Deal,Jack Reacher,Fiction,Fantasy,Hardcover,24.15,4.4,11580.0,29.0,Scribner,2019.0,978-6-78766-314-3,5503.0,View
246,Beyond World,Rick Warren,Non-Fiction,Biography,Hardcover,26.47,4.5,8354.0,17.0,Chronicle Books,2025.0,978-3-48074-298-0,1460.0,View
247,Hidden King,Jodi Picoult,Fiction,Middle Grade,Kindle Edition,6.76,4.2,300.0,5.0,Entangled: Red Tower Books,2024.0,978-6-84569-730-0,7310.0,View
248,Princess of Roses,David Grann,Non-Fiction,History,Kindle Edition,6.68,4.4,12077.0,23.0,Anchor Books,2020.0,978-0-37297-691-5,7045.0,View
249,The Crown and Bone,Greg Bear,Fiction,Graphic Novel,Audiobook,29.19,4.4,14569.0,9.0,Sourcebooks Landmark,2020.0,978-3-78825-409-2,1417.0,View
250,The Home and Thunder,Jon Meacham,Non-Fiction,Business / Finance,Kindle Edition,5.28,4.5,14483.0,5.0,Scribner,2025.0,978-2-36894-841-0,4263.0,View
251,Dark Empire,Charlotte McConaghy,Fiction,Romantasy,Kindle Edition,9.74,4.4,2397.0,5.0,NavPress,2023.0,978-7-97965-220-4,1725.0,View
252,The Sun Blueprint,Charlotte McConaghy,Fiction,Middle Grade,Paperback,9.63,4.6,2824.0,9.0,Tor Books,2021.0,978-0-71700-791-0,1371.0,View
253,Code Untold,Tim Ferriss,Non-Fiction,Gift / Journal,Paperback,16.21,4.4,2592.0,11.0,NavPress,2024.0,978-7-71675-337-3,1683.0,View
254,Soul Reborn,J.K. Rowling,Fiction,YA Dystopian,Hardcover,27.98,4.3,2362.0,13.0,Riverhead Books,2020.0,978-2-76577-205-6,7205.0,View
255,Map Approach,Patricia A. McKillip,Fiction,Cozy Mystery,Paperback,12.06,4.5,3616.0,10.0,Anchor Books,2025.0,978-3-32686-778-1,6566.0,View
256,Game of Stars,Daniel Kahneman,Non-Fiction,Productivity,Hardcover,24.74,4.1,3154.0,6.0,Convergent Books,2022.0,978-0-21866-322-2,5269.0,View
257,Wild Mirror,Virginia Evans,Fiction,Graphic Novel,Kindle Edition,10.11,4.9,2870.0,2.0,Chronicle Books,2023.0,978-8-62978-967-2,7497.0,View
258,The Weakness and Lightning,Viola Davis,Non-Fiction,Self-Help,Hardcover,22.65,4.1,1780.0,11.0,Tor Books,2017.0,978-3-82800-493-5,7396.0,View
259,The Map Approach,bell hooks,Non-Fiction,History,Audiobook,28.9,4.7,3772.0,9.0,HarperOne,2021.0,978-6-56570-331-2,3997.0,View
260,Sun Forever Changed,Emily St. John Mandel,Fiction,YA Dystopian,Hardcover,25.97,4.3,1213.0,12.0,IVP Books,2024.0,978-4-70940-629-1,4807.0,View
261,High Book,Jeffrey Mason,Non-Fiction,Politics / Society,Hardcover,21.3,4.0,2463.0,5.0,Howard Books,2017.0,978-9-49855-844-9,2655.0,View
262,The Ice Untold,Jodi Picoult,Fiction,Children's Picture Book,Paperback,11.52,5.0,2154.0,1.0,Workman Publishing,2025.0,978-2-87564-856-2,5923.0,View
263,The River Legacy,Demi Moore,Non-Fiction,History,Paperback,12.95,4.3,2876.0,1.0,IVP Books,2024.0,978-1-16884-271-7,3792.0,View
264,Always Faith,Viola Davis,Non-Fiction,Science / Nature,Hardcover,29.49,4.3,386.0,2.0,Rodale Books,2026.0,978-5-66595-725-4,3272.0,View
265,Voice Never Forgotten,Andy Weir,Fiction,Psychological Thriller,Paperback,9.87,4.6,1847.0,12.0,Gallery Books,2019.0,978-0-13106-734-1,995.0,View
266,Spy Reclaimed,Adam Grant,Non-Fiction,Cooking / Food,Hardcover,28.99,4.6,2314.0,13.0,Convergent Books,2021.0,978-5-43729-265-1,2803.0,View
267,Forest of Shadows,Octavia Butler,Fiction,Crime / Detective,Hardcover,18.86,4.4,920.0,15.0,Viking,2021.0,978-1-14569-174-1,5214.0,View
268,The Beast Theory,Publications International,Non-Fiction,Politics / Society,Hardcover,22.24,4.2,624.0,9.0,Hoover Ink,2018.0,978-7-25886-680-8,3476.0,View
269,A Letter,David Goggins,Non-Fiction,Creativity / Art,Board Book,12.62,4.3,924.0,11.0,"Little, Brown",2024.0,978-1-92941-548-3,1684.0,View
270,Hate of Roses,Rick Riordan,Fiction,Contemporary Romance,Paperback,16.08,4.6,400.0,7.0,Harmony,2016.0,978-8-70079-794-8,1760.0,View
271,Iron Captain,Paula Hawkins,Fiction,Science Fiction,Kindle Edition,4.87,4.0,573.0,14.0,Bloomsbury Publishing,2025.0,978-7-87984-918-9,2348.0,View
272,Beyond Code,Rick Rubin,Non-Fiction,Personal Finance,Paperback,10.26,4.1,3450.0,3.0,Vintage,2024.0,978-2-67496-349-9,877.0,View
273,Deal Undone,Jeffrey Mason,Non-Fiction,History,Hardcover,19.67,4.2,3425.0,4.0,Chronicle Books,2026.0,978-0-88154-284-7,5559.0,View
274,Against War,Ben Greenfield,Non-Fiction,Health / Longevity,Paperback,15.92,4.2,1754.0,5.0,Bloomsbury Publishing,2013.0,978-2-99816-964-7,4623.0,View
275,Knight Always Watching,Alan Dean Foster,Fiction,Science Fiction,Paperback,16.06,4.3,1977.0,12.0,Algonquin Books,2022.0,978-5-64927-303-5,2434.0,View
276,The Crown Fallen,Seth Godin,Non-Fiction,True Crime,Paperback,14.47,4.4,1508.0,7.0,Independently Published,2020.0,978-3-92840-467-4,2208.0,View
277,The Ocean Unbound,Paul Tremblay,Fiction,Middle Grade,Paperback,16.14,4.9,4785.0,9.0,Hachette Book Group,2025.0,978-6-78389-600-3,5400.0,View
278,Below Empire,Matt Haig,Fiction,Contemporary Romance,Board Book,13.12,4.2,4180.0,1.0,Harriman House,2021.0,978-7-22844-563-7,2526.0,View
279,Star Reclaimed,Greg Bear,Fiction,Cozy Mystery,Hardcover,24.4,3.8,3849.0,13.0,Zondervan,2016.0,978-6-34241-908-5,5692.0,View
280,Truth and Lightning,David Eddings,Fiction,Science Fiction,Audiobook,28.48,4.1,472.0,2.0,Independently Published,2021.0,978-9-15357-474-5,1995.0,View
281,The Villain of Roses,Ta-Nehisi Coates,Non-Fiction,Politics / Society,Paperback,9.56,4.2,4364.0,14.0,Zondervan,2016.0,978-8-98907-945-8,2956.0,View
282,The Soldier Framework,Tomi Adeyemi,Fiction,Children's Picture Book,Hardcover,23.44,4.6,1723.0,9.0,Penguin Books,2026.0,978-4-64596-798-8,1645.0,View
283,Game and Rain,Publications International,Non-Fiction,Self-Help,Hardcover,26.05,4.5,2541.0,10.0,Sourcebooks Landmark,2016.0,978-2-44079-332-7,3612.0,View
284,Secret Sky,Dean Koontz,Fiction,Cozy Mystery,Paperback,17.93,4.2,4756.0,3.0,Park Row,2021.0,978-2-36890-675-0,6020.0,View
285,Saving Garden,Cinda Williams Chima,Fiction,Dark Romance,Audiobook,18.11,4.7,4206.0,6.0,Hay House,2024.0,978-7-47988-872-9,6033.0,View
286,Rising Forest,Carol Dweck,Non-Fiction,Biography,Hardcover,18.19,4.3,500.0,10.0,Algonquin Books,2024.0,978-8-39116-900-4,2175.0,View
287,Garden Unleashed,Kim Stanley Robinson,Fiction,Dark Romance,Audiobook,22.38,4.3,2928.0,5.0,Vintage,2026.0,978-1-38271-845-7,6648.0,View
288,Sea and Bone,Rick Rubin,Non-Fiction,Personal Finance,Audiobook,26.8,4.5,3128.0,2.0,Rodale Books,2010.0,978-4-64331-279-8,4361.0,View
289,Silent City,Carol Dweck,Non-Fiction,Cooking / Food,Paperback,9.01,4.4,3921.0,2.0,Hay House,2024.0,978-6-33510-603-3,811.0,View
290,The Princess of Ice,Susanna Clarke,Fiction,Paranormal Romance,Hardcover,18.89,5.0,3826.0,15.0,Flatiron Books,2024.0,978-2-16932-379-5,4016.0,View
291,The Valley Method,Barack Obama,Non-Fiction,Self-Help,Kindle Edition,10.15,4.3,3019.0,2.0,Flatiron Books,2023.0,978-2-11690-240-8,2887.0,View
292,Sea Framework,Thich Nhat Hanh,Non-Fiction,Health / Longevity,Kindle Edition,11.21,4.8,3468.0,8.0,Bloomsbury Publishing,2026.0,978-2-12277-591-5,3136.0,View
293,House Awakening,V.E. Schwab,Fiction,Graphic Novel,Paperback,17.82,4.0,965.0,2.0,St. Martin's Press,2011.0,978-6-15572-301-1,854.0,View
294,Code Forever Changed,Martin Seligman,Non-Fiction,Productivity,Hardcover,19.59,4.6,2929.0,1.0,Baker Books,2015.0,978-4-85989-456-5,1903.0,View
295,The House Always Watching,Mary Kubica,Fiction,Psychological Thriller,Paperback,10.92,4.0,3052.0,12.0,HarperOne,2023.0,978-1-33704-954-5,3699.0,View
296,The Beauty Blueprint,Matthew Stover,Fiction,Middle Grade,Kindle Edition,4.73,4.4,4094.0,2.0,Independently Published,2021.0,978-9-50895-803-7,2442.0,View
297,Quiet City,Brené Brown,Non-Fiction,Business / Finance,Paperback,12.54,4.2,1432.0,2.0,Gallery Books,2020.0,978-5-36248-709-6,1599.0,View
298,Ice Reclaimed,Daniel Kahneman,Non-Fiction,Cooking / Food,Paperback,13.39,3.8,1940.0,11.0,Penguin Books,2026.0,978-1-16927-950-1,4676.0,View
299,The Desert of Fire,Publications International,Non-Fiction,Spirituality / Religion,Hardcover,24.04,4.5,194.0,13.0,Plata Publishing,2012.0,978-1-60283-560-5,7584.0,View
300,First City,Nassim Taleb,Non-Fiction,Spirituality / Religion,Hardcover,23.37,4.1,4586.0,11.0,St. Martin's Press,2023.0,978-7-83695-974-2,4750.0,View
301,Through Day,Robert Kiyosaki,Non-Fiction,Activity / Coloring,Kindle Edition,9.62,4.2,2977.0,7.0,Convergent Books,2020.0,978-3-42455-340-4,5456.0,View
302,Cold Heart,Rhonda Byrne,Non-Fiction,Gift / Journal,Audiobook,20.32,4.6,3897.0,10.0,Grand Central Publishing,2011.0,978-6-84757-499-5,5294.0,View
303,Saving Room,Adam Grant,Non-Fiction,Spirituality / Religion,Kindle Edition,8.81,4.4,4748.0,7.0,Chronicle Books,2025.0,978-1-85784-197-9,3365.0,View
304,Cold Lie,Viktor Frankl,Non-Fiction,Self-Help,Hardcover,20.26,4.5,4271.0,8.0,Vintage,2024.0,978-2-12438-742-8,7675.0,View
305,Fear Theory,Naomi Novik,Fiction,Urban Fantasy,Kindle Edition,10.88,4.5,577.0,11.0,Lioncrest Publishing,2018.0,978-4-47623-761-2,2710.0,View
306,Valley of Shadows,Ta-Nehisi Coates,Non-Fiction,True Crime,Hardcover,17.47,4.2,1355.0,5.0,Viking,2016.0,978-4-96333-663-2,5890.0,View
307,Warrior Reimagined,Tomi Adeyemi,Fiction,Urban Fantasy,Hardcover,23.49,4.7,4804.0,13.0,Viking,2026.0,978-7-21829-343-9,1615.0,View
308,Silent Sky,Michael Pollan,Non-Fiction,History,Audiobook,16.11,4.7,4420.0,6.0,Bloomsbury Publishing,2024.0,978-5-81531-533-7,6208.0,View
309,Below Fear,Jon Meacham,Non-Fiction,Memoir,Hardcover,26.1,4.7,4431.0,14.0,HarperOne,2018.0,978-6-11031-502-4,3082.0,View
310,The Mirror Reborn,Tara Westover,Non-Fiction,Parenting,Audiobook,21.64,4.2,3510.0,15.0,Scholastic Press,2026.0,978-2-44205-618-1,3502.0,View
311,Before Knight,Joyce Meyer,Non-Fiction,Self-Help,Paperback,10.41,3.7,1115.0,14.0,Lioncrest Publishing,2023.0,978-5-69177-589-2,2757.0,View
312,The Earth of Thorns,Matthew Stover,Fiction,Romantasy,Hardcover,25.14,4.3,778.0,8.0,Howard Books,2018.0,978-2-16525-510-9,4137.0,View
313,Soldier and Ash,Brian McClellan,Fiction,Climate Fiction,Audiobook,31.26,4.4,3179.0,3.0,Crown,2021.0,978-9-38254-943-4,6579.0,View
314,The Game Reimagined,Colleen Hoover,Fiction,Historical Fiction,Hardcover,28.32,4.8,3306.0,11.0,Hoover Ink,2018.0,978-6-88275-362-1,1408.0,View
315,Dark Warrior,Tim Ferriss,Non-Fiction,Psychology / Health,Board Book,11.91,4.2,4176.0,8.0,Independently Published,2026.0,978-2-21750-424-8,4176.0,View
316,When River,Isabel Wilkerson,Non-Fiction,Self-Help,Audiobook,21.3,4.3,4074.0,13.0,Vintage,2026.0,978-7-16975-293-2,1079.0,View
317,Book Never Forgotten,bell hooks,Non-Fiction,Spirituality / Religion,Hardcover,27.99,4.5,816.0,4.0,Atria Books,2026.0,978-2-76681-942-4,5248.0,View
318,Voice System,Peter F. Hamilton,Fiction,Middle Grade,Board Book,8.84,4.3,3110.0,10.0,Scholastic Press,2026.0,978-5-30155-129-1,4406.0,View
319,The Nurse Unleashed,Jeff Kinney,Fiction,Middle Grade,Kindle Edition,10.68,4.1,808.0,7.0,Doubleday,2019.0,978-6-21690-121-3,1972.0,View
320,Beyond Captain,Viktor Frankl,Non-Fiction,Politics / Society,Hardcover,28.5,4.3,3952.0,5.0,Plata Publishing,2023.0,978-1-65382-930-5,5668.0,View
321,The War Chronicles,Tana French,Fiction,Historical Fiction,Hardcover,18.02,4.5,1096.0,11.0,Doubleday,2026.0,978-8-66063-402-9,1032.0,View
322,The Desert Framework,Morgan Housel,Non-Fiction,Politics / Society,Paperback,14.94,4.2,1520.0,13.0,Harriman House,2017.0,978-0-20917-526-4,3215.0,View
323,Hero Theory,Freida McFadden,Fiction,Romantasy,Paperback,9.11,4.2,3368.0,14.0,Baker Books,2024.0,978-9-73795-410-9,7307.0,View
324,The Court and Thunder,Patricia A. McKillip,Fiction,Climate Fiction,Hardcover,25.44,4.2,3619.0,14.0,Anchor Books,2024.0,978-3-21284-408-7,1861.0,View
325,The House Awakening,Mary Karr,Non-Fiction,Gift / Journal,Paperback,9.06,4.1,3455.0,14.0,Algonquin Books,2022.0,978-9-82653-397-0,4643.0,View
